Trials = 100000   SKIP
Wishes Available,X,C0,C1,C2,C3,C4,C5,C6   SKIP
72,78.9360,18.7920,2.1110,0.1520,0.0080,0.0010,0.0000,0.0000
73,78.7350,18.9760,2.1140,0.1660,0.0070,0.0020,0.0000,0.0000
74,76.5320,21.1550,2.1390,0.1640,0.0090,0.0010,0.0000,0.0000
75,72.8740,24.6540,2.2950,0.1670,0.0100,0.0000,0.0000,0.0000
76,67.9310,29.5380,2.3390,0.1810,0.0110,0.0000,0.0000,0.0000
77,62.4040,34.8360,2.5910,0.1550,0.0120,0.0020,0.0000,0.0000
78,57.0620,40.1310,2.6390,0.1520,0.0160,0.0000,0.0000,0.0000
79,52.7770,44.1990,2.8310,0.1840,0.0090,0.0000,0.0000,0.0000
80,49.4240,47.3200,3.0280,0.2120,0.0160,0.0000,0.0000,0.0000
81,46.8790,49.6790,3.2250,0.2060,0.0110,0.0000,0.0000,0.0000
82,45.2180,51.0220,3.5360,0.2110,0.0130,0.0000,0.0000,0.0000
83,44.1640,51.8440,3.7430,0.2320,0.0140,0.0030,0.0000,0.0000
84,43.4760,52.2610,4.0370,0.2150,0.0100,0.0010,0.0000,0.0000
85,42.7500,52.7600,4.1970,0.2770,0.0150,0.0010,0.0000,0.0000
86,42.4920,52.8450,4.3600,0.2750,0.0270,0.0010,0.0000,0.0000
87,42.1310,52.9110,4.6300,0.3010,0.0250,0.0020,0.0000,0.0000
88,41.4230,53.3430,4.9360,0.2820,0.0140,0.0020,0.0000,0.0000
89,41.0010,53.4890,5.1740,0.3120,0.0240,0.0000,0.0000,0.0000
90,40.5730,53.7240,5.3310,0.3540,0.0160,0.0020,0.0000,0.0000
91,40.1830,53.8210,5.5660,0.4080,0.0220,0.0000,0.0000,0.0000
92,39.8580,53.6470,6.0410,0.4250,0.0280,0.0010,0.0000,0.0000
93,39.3630,54.0600,6.1690,0.3810,0.0270,0.0000,0.0000,0.0000
94,39.1540,53.9420,6.4500,0.4220,0.0310,0.0010,0.0000,0.0000
